 ,BX,BY,Width,Height,Slice
1,82.778,78.148,1.667,1.667,1
2,82.778,78.148,1.667,1.667,41
3,83.333,78.148,1.852,1.852,62
4,83.148,77.778,2.593,2.778,71
5,82.963,77.593,3.148,3.333,82
6,82.037,76.667,5.000,4.815,88
7,81.111,75.556,7.037,7.037,95
8,79.444,73.889,10.370,10.370,106
9,78.704,72.963,12.037,12.037,112
10,77.407,71.481,14.630,14.630,121
11,76.481,70.556,16.667,16.481,132
12,76.111,69.815,17.593,17.778,140
13,75.185,69.259,19.074,18.889,149
14,75.185,69.074,19.259,19.444,158
15,74.074,68.148,20.741,20.556,165
16,74.074,68.148,0.370,0.370,184
