 ,BX,BY,Width,Height,Slice
1,82.963,74.074,1.481,1.481,1
2,82.963,74.074,1.481,1.481,31
3,82.963,74.074,1.481,1.481,61
4,82.778,73.519,1.852,1.852,84
5,81.852,72.222,3.704,3.704,98
6,81.296,71.667,4.815,4.815,102
7,80.556,70.926,6.296,6.296,107
8,79.815,70.000,7.593,8.148,113
9,78.889,68.889,9.815,10.000,122
10,77.222,67.407,12.963,12.963,136
11,76.296,66.667,14.444,14.444,147
12,75.741,65.926,15.741,15.926,160
13,74.815,65.370,17.222,17.037,176
14,74.074,64.444,18.148,18.148,180
15,74.074,64.444,0.370,0.370,200
