 ,BX,BY,Width,Height,Slice
1,28.782,23.205,0.128,1.154,1
2,28.590,30.321,0.256,1.154,35
3,28.462,38.910,0.192,1.218,76
4,28.333,43.141,0.449,1.346,99
5,28.269,44.551,0.897,1.923,110
6,28.333,45.192,1.154,2.372,116
7,28.141,45.705,1.026,2.564,122
8,28.269,45.897,0.833,3.077,126
9,27.949,46.154,1.090,3.397,132
10,27.436,45.897,1.282,3.910,138
