 ,BX,BY,Width,Height,Slice
1,42.955,7.576,0.227,0.833,13
2,43.258,16.061,0.076,0.833,36
3,43.333,28.030,0.227,0.833,69
4,43.409,37.273,0.152,0.909,96
5,43.409,45.000,0.227,0.985,121
6,43.333,48.409,0.152,0.985,134
7,43.258,50.758,0.152,0.909,144
8,43.106,52.727,0.152,1.061,154
9,42.727,54.394,0.152,0.909,165
10,42.348,55.303,0.076,0.758,175
11,41.591,55.682,0.227,0.606,185
12,40.530,55.000,0.152,0.606,200
13,39.318,53.485,0.227,0.606,214
14,39.091,51.136,0.152,0.833,228
