 ,BX,BY,Width,Height,Slice
1,32.069,24.892,0.129,1.099,1
2,32.004,32.134,0.194,1.034,37
3,31.875,40.345,0.323,1.099,78
4,31.875,42.220,0.194,1.034,87
5,31.875,44.159,0.259,1.034,97
6,31.875,46.810,0.194,1.099,111
7,31.810,49.009,0.259,1.228,124
8,31.681,50.366,0.388,1.810,134
9,31.552,50.754,0.517,2.328,138
10,31.422,51.272,0.453,2.845,143
11,31.293,51.659,0.582,3.491,149
12,31.164,51.853,0.776,4.009,155
13,31.228,51.853,0.711,4.526,161
14,31.293,51.336,0.776,5.302,171
15,31.228,50.754,0.776,5.496,179
16,31.228,49.591,0.776,5.237,190
