 ,BX,BY,Width,Height,Slice
1,31.410,20.064,0.256,0.962,1
2,31.410,27.692,0.128,1.026,43
3,31.346,37.244,0.128,1.026,95
4,31.282,42.179,0.256,1.218,125
5,31.282,43.397,0.192,1.410,134
6,31.474,43.910,0.256,1.731,139
7,30.962,44.423,0.833,1.923,144
8,31.346,44.936,0.321,2.564,152
9,31.474,45.192,0.513,2.949,158
10,30.962,45.385,1.282,3.205,163
11,31.154,45.321,0.897,3.590,168
12,31.090,45.192,0.705,3.718,175
13,31.410,44.551,0.577,4.167,182
14,31.731,42.308,0.833,3.526,203
15,31.795,40.705,0.705,3.077,215
