 ,BX,BY,Width,Height,Slice
1,80.926,83.889,1.296,1.296,1
2,80.556,82.593,2.037,2.037,32
3,79.444,81.481,3.889,3.889,52
4,78.519,80.556,5.556,5.556,57
5,77.222,79.259,8.148,8.148,65
6,75.741,77.963,10.556,10.741,74
7,74.630,76.667,12.778,12.963,82
8,73.704,75.926,14.630,14.444,89
9,72.778,74.815,16.296,16.481,98
10,71.481,73.889,18.333,18.519,109
11,70.741,72.963,19.630,19.815,120
12,70.000,72.407,20.556,20.556,134
13,69.259,72.037,21.296,20.926,144
14,80.926,85.000,0.370,0.370,166
