 ,BX,BY,Width,Height,Slice
1,72.687,72.537,1.493,1.343,1
2,72.687,72.239,1.493,1.493,79
3,72.687,72.239,1.493,1.493,86
4,72.537,72.090,1.642,1.642,130
5,72.388,71.940,1.791,1.791,160
6,72.090,71.791,2.090,2.090,185
7,71.642,71.791,2.537,2.388,203
8,71.343,71.493,2.985,2.985,214
9,70.896,71.343,3.433,3.582,226
10,70.746,71.343,3.582,3.731,233
11,70.149,71.343,4.030,4.179,248
12,69.851,71.642,4.030,3.881,260
13,69.403,71.791,3.881,3.881,275
